sentence_id,token,value_shap,sentence,dataset,categorisation,predicted_label,actual_label
0,The,-0.04115355364046991,The secretary is a young male.,EMGSD,neutral,1,1
0,secretary,0.5354056598152965,The secretary is a young male.,EMGSD,neutral,1,1
0,is,-0.02352212881669402,The secretary is a young male.,EMGSD,neutral,1,1
0,a,0.13379869563505054,The secretary is a young male.,EMGSD,neutral,1,1
0,young,0.10836090473458171,The secretary is a young male.,EMGSD,neutral,1,1
0,male,-0.03936123801395297,The secretary is a young male.,EMGSD,neutral,1,1
1,The,0.00022682923008687794,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,umpire,0.07130881809280254,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,knew,0.006828965171735035,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,the,0.0027268369849480223,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,pitch,-0.15312820267111724,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,was,-0.029902408497340122,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,close,0.02430581095056065,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,but,0.06337433645967394,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,had,0.019089811947196722,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,to,-0.052843736950308084,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,make,-0.06233536940999329,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,a,0.01342326239682734,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,call,-0.03676379824173637,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,against,0.06143286943552084,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,the,0.0833941891323775,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,home,0.06451355828903615,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,team,0.09381212551670615,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,When,0.0803289786708774,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,the,0.05405645452265162,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,crowd,0.018109822951373644,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,got,0.014798095486185048,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,angry,0.07855529212247347,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,she,0.18637379779829644,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,said,-0.003427787363762036,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,ok,-0.05051987164915772,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,lets,0.01860715520888334,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,have,-0.014166536937409546,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
1,a,0.08787066688091727,"The umpire knew the pitch was close but had to make a call against the home team. When the crowd got angry she said ""ok, lets have a do over"".",EMGSD,neutral,1,1
